,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,mae,maperc_e,mslog_e,CosineSimilarity,Huber,LogCosh
train_score,flow,regression,"(0, 0, 20)",9.0,3,2.5,none,0,3.6737611293792725,1.7882663011550903,81.5383071899414,0.7371321320533752,-1.7320551872253418,1.3026890754699707,1.1627061367034912
val_score,flow,regression,"(0, 0, 20)",9.0,3,2.5,none,0,2.899775505065918,1.5485000610351562,78.6100845336914,0.6133188009262085,-1.7320536375045776,1.0714991092681885,0.9533798098564148
test_score,flow,regression,"(0, 0, 20)",9.0,3,2.5,none,0,2.801070213317871,1.5975555181503296,81.64517974853516,0.6258934140205383,-1.7320537567138672,1.097629427909851,0.9619618058204651
train_score,flow,regression,"(0, 0, 9)",81.0,3,5,avg,0,3.5302793979644775,1.742624282836914,81.02672576904297,0.7133837938308716,-1.7320548295974731,1.2582404613494873,1.1226176023483276
val_score,flow,regression,"(0, 0, 9)",81.0,3,5,avg,0,2.880023241043091,1.5438846349716187,78.66851043701172,0.6104483604431152,-1.7320514917373657,1.066024899482727,0.9481708407402039
test_score,flow,regression,"(0, 0, 9)",81.0,3,5,avg,0,2.7988803386688232,1.598536491394043,81.67367553710938,0.6263146996498108,-1.732051968574524,1.0985369682312012,0.9625526070594788
train_score,flow,regression,"(0, 0, 3)",9.0,3,5,conc,0,3.4768049716949463,1.7260655164718628,80.84373474121094,0.7047297358512878,-1.7320548295974731,1.2421115636825562,1.1078959703445435
val_score,flow,regression,"(0, 0, 3)",9.0,3,5,conc,0,2.880023241043091,1.5438846349716187,78.66850280761719,0.6104483604431152,-1.7320516109466553,1.066024899482727,0.9481708407402039
test_score,flow,regression,"(0, 0, 3)",9.0,3,5,conc,0,2.7988805770874023,1.5985366106033325,81.67367553710938,0.6263147592544556,-1.732051968574524,1.0985370874404907,0.9625526666641235
train_score,flow,regression,"(0, 0, 4)",81.0,5,2.5,none,0,12.472195625305176,3.338904619216919,93.36713409423828,1.753536581993103,-2.236078977584839,2.8390614986419678,2.6590659618377686
val_score,flow,regression,"(0, 0, 4)",81.0,5,2.5,none,0,10.016844749450684,2.936384439468384,92.29964447021484,1.5173903703689575,-2.2360610961914062,2.4367706775665283,2.264554262161255
test_score,flow,regression,"(0, 0, 4)",81.0,5,2.5,none,0,9.80263900756836,3.0181455612182617,93.39227294921875,1.5704944133758545,-2.2360618114471436,2.518146276473999,2.3307316303253174
train_score,flow,regression,"(0, 0, 6)",27.0,5,5,avg,0,11.944899559020996,3.2507054805755615,93.14240264892578,1.7014132738113403,-2.236074447631836,2.750736713409424,2.572408437728882
val_score,flow,regression,"(0, 0, 6)",27.0,5,5,avg,0,9.958626747131348,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.256269693374634
test_score,flow,regression,"(0, 0, 6)",27.0,5,5,avg,0,9.797005653381348,3.019777297973633,93.40251159667969,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,flow,regression,"(0, 0, 1)",9.0,5,5,conc,0,11.938223838806152,3.2500524520874023,93.14640045166016,1.701077938079834,-2.236074447631836,2.7500832080841064,2.57167911529541
val_score,flow,regression,"(0, 0, 1)",9.0,5,5,conc,0,9.958627700805664,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.2562694549560547
test_score,flow,regression,"(0, 0, 1)",9.0,5,5,conc,0,9.797005653381348,3.019777297973633,93.40251922607422,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,flow,regression,"(0, 0, 13)",9.0,9,2.5,none,0,43.24646759033203,6.240738868713379,97.9429702758789,3.4973881244659424,-3.0,5.740739345550537,5.548786163330078
val_score,flow,regression,"(0, 0, 13)",9.0,9,2.5,none,0,35.147823333740234,5.534405708312988,97.62335205078125,3.1186509132385254,-3.0,5.034407138824463,4.843173980712891
test_score,flow,regression,"(0, 0, 13)",9.0,9,2.5,none,0,34.52933883666992,5.681583404541016,97.96062469482422,3.240434408187866,-3.0,5.181581974029541,4.9885125160217285
train_score,flow,regression,"(0, 0, 1)",9.0,9,5,avg,0,41.38264083862305,6.0736308097839355,97.87100219726562,3.407184362411499,-2.999988317489624,5.573630332946777,5.381711483001709
val_score,flow,regression,"(0, 0, 1)",9.0,9,5,avg,0,34.9549674987793,5.520540237426758,97.62982940673828,3.1124446392059326,-2.9999067783355713,5.020539283752441,4.829145431518555
test_score,flow,regression,"(0, 0, 1)",9.0,9,5,avg,0,34.511695861816406,5.684499740600586,97.96372985839844,3.2425284385681152,-2.9999477863311768,5.184497356414795,4.991432189941406
train_score,flow,regression,"(0, 0, 0)",9.0,9,5,conc,0,41.530914306640625,6.0859503746032715,97.87703704833984,3.4136598110198975,-2.9999537467956543,5.585949897766113,5.393996715545654
val_score,flow,regression,"(0, 0, 0)",9.0,9,5,conc,0,34.9549674987793,5.520540237426758,97.62982940673828,3.1124444007873535,-2.9999310970306396,5.020539283752441,4.829145431518555
test_score,flow,regression,"(0, 0, 0)",9.0,9,5,conc,0,34.511695861816406,5.684499740600586,97.96372985839844,3.2425291538238525,-2.999918222427368,5.184497356414795,4.991432189941406
train_score,handcrafted,regression,"(0, 0, 8)",27.0,3,2.5,none,0,3.9044077396392822,1.8020442724227905,83.0427017211914,0.9407318234443665,-1.002912998199463,1.328670620918274,1.191126823425293
val_score,handcrafted,regression,"(0, 0, 8)",27.0,3,2.5,none,0,3.1558852195739746,1.5730128288269043,80.95195007324219,0.8105707764625549,-1.0021713972091675,1.1182761192321777,0.9971768856048584
test_score,handcrafted,regression,"(0, 0, 8)",27.0,3,2.5,none,0,3.0329880714416504,1.6006993055343628,81.66588592529297,0.8244563937187195,-1.0021344423294067,1.1228379011154175,0.9929238557815552
train_score,handcrafted,regression,"(0, 0, 4)",243.0,3,5,none,0,3.5621743202209473,1.7514455318450928,81.10308837890625,0.7180981040000916,-1.7320547103881836,1.2670563459396362,1.130717158317566
val_score,handcrafted,regression,"(0, 0, 4)",243.0,3,5,none,0,2.710636615753174,1.4890806674957275,78.00626373291016,0.5820555090904236,-1.7320513725280762,1.013136386871338,0.9001086354255676
test_score,handcrafted,regression,"(0, 0, 4)",243.0,3,5,none,0,2.8034636974334717,1.5975185632705688,81.65203857421875,0.6258352398872375,-1.7320518493652344,1.0975193977355957,0.9618180394172668
train_score,handcrafted,regression,"(0, 0, 6)",243.0,3,5s,none,0,4.049313545227051,1.846876859664917,83.48900604248047,0.9670454263687134,-1.0005946159362793,1.370698094367981,1.2299222946166992
val_score,handcrafted,regression,"(0, 0, 6)",243.0,3,5s,none,0,3.253476619720459,1.6003336906433105,81.25933074951172,0.8262811899185181,-1.001466989517212,1.1437538862228394,1.020910382270813
test_score,handcrafted,regression,"(0, 0, 6)",243.0,3,5s,none,0,3.0450782775878906,1.6009711027145386,81.65508270263672,0.8253850340843201,-1.000383973121643,1.1234668493270874,0.9935778975486755
train_score,handcrafted,regression,"(0, 0, 6)",81.0,5,5,none,0,12.186897277832031,3.264320135116577,93.185302734375,1.8989266157150269,-1.001761794090271,2.7686474323272705,2.591688632965088
val_score,handcrafted,regression,"(0, 0, 6)",81.0,5,5,none,0,9.585518836975098,2.837401866912842,92.08682250976562,1.6396867036819458,-1.0018399953842163,2.344158172607422,2.175945281982422
test_score,handcrafted,regression,"(0, 0, 6)",81.0,5,5,none,0,9.970183372497559,3.018080711364746,93.39471435546875,1.7572165727615356,-1.0009583234786987,2.518083333969116,2.333510160446167
train_score,handcrafted,regression,"(0, 0, 19)",27.0,5,5s,none,0,12.891773223876953,3.406637191772461,93.51498413085938,1.7934447526931763,-2.235821008682251,2.906848669052124,2.7260453701019287
val_score,handcrafted,regression,"(0, 0, 19)",27.0,5,5s,none,0,10.427611351013184,2.9934279918670654,92.37478637695312,1.5507887601852417,-2.2360634803771973,2.494025945663452,2.3217477798461914
test_score,handcrafted,regression,"(0, 0, 19)",27.0,5,5s,none,0,9.869938850402832,3.0238394737243652,93.39579010009766,1.5737098455429077,-2.2358741760253906,2.5238423347473145,2.3364596366882324
train_score,handcrafted,regression,"(0, 0, 21)",81.0,9,2.5,none,0,43.80599594116211,6.283499240875244,97.96484375,3.672814130783081,-1.0043257474899292,5.783541202545166,5.591861248016357
val_score,handcrafted,regression,"(0, 0, 21)",81.0,9,2.5,none,0,35.60443115234375,5.556423187255859,97.62198638916016,3.2746310234069824,-1.0050139427185059,5.0564751625061035,4.865925312042236
test_score,handcrafted,regression,"(0, 0, 21)",81.0,9,2.5,none,0,34.739234924316406,5.691013813018799,97.96292114257812,3.394263982772827,-1.0024900436401367,5.191012859344482,4.997966289520264
train_score,handcrafted,regression,"(0, 0, 12)",9.0,9,5,none,0,42.19137954711914,6.143233776092529,97.90033721923828,3.4442028999328613,-3.0,5.6432342529296875,5.451261043548584
val_score,handcrafted,regression,"(0, 0, 12)",9.0,9,5,none,0,33.15065002441406,5.356128215789795,97.5562515258789,3.0243418216705322,-3.0,4.8561272621154785,4.664918899536133
test_score,handcrafted,regression,"(0, 0, 12)",9.0,9,5,none,0,34.55622482299805,5.681446075439453,97.96136474609375,3.240518569946289,-3.0,5.181443214416504,4.9883809089660645
train_score,handcrafted,regression,"(0, 0, 23)",27.0,9,5s,none,0,44.78776550292969,6.376172065734863,97.99474334716797,3.5692710876464844,-2.9999773502349854,5.876171588897705,5.684162616729736
val_score,handcrafted,regression,"(0, 0, 23)",27.0,9,5s,none,0,36.533809661865234,5.637052536010742,97.64656066894531,3.171025276184082,-2.9996824264526367,5.1370530128479,4.94595193862915
test_score,handcrafted,regression,"(0, 0, 23)",27.0,9,5s,none,0,34.75529861450195,5.69180154800415,97.96168518066406,3.2451820373535156,-3.0,5.191798210144043,4.998743057250977
train_score,rgb,regression,"(0, 0, 5)",27.0,3,2.5,none,0,3.6659324169158936,1.7850133180618286,81.49149322509766,0.7354843020439148,-1.7320551872253418,1.2995918989181519,1.1599721908569336
val_score,rgb,regression,"(0, 0, 5)",27.0,3,2.5,none,0,2.899775743484497,1.5485000610351562,78.6100845336914,0.613318681716919,-1.7320536375045776,1.0714991092681885,0.9533796906471252
test_score,rgb,regression,"(0, 0, 5)",27.0,3,2.5,none,0,2.80107045173645,1.5975555181503296,81.64517974853516,0.6258934140205383,-1.7320537567138672,1.097629427909851,0.9619618058204651
train_score,rgb,regression,"(0, 0, 7)",27.0,3,5,avg,0,3.536229133605957,1.7436795234680176,81.01875305175781,0.7140300869941711,-1.7320548295974731,1.259524941444397,1.1237804889678955
val_score,rgb,regression,"(0, 0, 7)",27.0,3,5,avg,0,2.8800230026245117,1.5438846349716187,78.66850280761719,0.6104483604431152,-1.7320517301559448,1.066024899482727,0.9481708407402039
test_score,rgb,regression,"(0, 0, 7)",27.0,3,5,avg,0,2.7988803386688232,1.598536491394043,81.67367553710938,0.6263147592544556,-1.7320517301559448,1.0985369682312012,0.9625526070594788
train_score,rgb,regression,"(0, 0, 1)",9.0,3,5,conc,0,3.481832265853882,1.7281262874603271,80.88552856445312,0.705716609954834,-1.7320548295974731,1.2439055442810059,1.1095014810562134
val_score,rgb,regression,"(0, 0, 1)",9.0,3,5,conc,0,2.880023241043091,1.5438846349716187,78.66850280761719,0.6104483604431152,-1.7320514917373657,1.066024899482727,0.9481708407402039
test_score,rgb,regression,"(0, 0, 1)",9.0,3,5,conc,0,2.7988803386688232,1.598536491394043,81.67367553710938,0.6263147592544556,-1.7320516109466553,1.0985369682312012,0.9625526070594788
train_score,rgb,regression,"(0, 0, 0)",9.0,5,2.5,none,0,12.411493301391602,3.3285109996795654,93.3359146118164,1.7473951578140259,-2.236078977584839,2.8286540508270264,2.6489412784576416
val_score,rgb,regression,"(0, 0, 0)",9.0,5,2.5,none,0,10.016845703125,2.936384439468384,92.29964447021484,1.517390251159668,-2.2360610961914062,2.4367706775665283,2.264554262161255
test_score,rgb,regression,"(0, 0, 0)",9.0,5,2.5,none,0,9.80263900756836,3.0181455612182617,93.39227294921875,1.5704944133758545,-2.2360618114471436,2.518146276473999,2.3307318687438965
train_score,rgb,regression,"(0, 0, 1)",9.0,5,5,avg,0,11.924245834350586,3.247342348098755,93.12979125976562,1.6994059085845947,-2.236074447631836,2.7473692893981934,2.569171190261841
val_score,rgb,regression,"(0, 0, 1)",9.0,5,5,avg,0,9.958626747131348,2.9286930561065674,92.3206787109375,1.5129014253616333,-2.2360684871673584,2.4289350509643555,2.256269693374634
test_score,rgb,regression,"(0, 0, 1)",9.0,5,5,avg,0,9.797005653381348,3.019777297973633,93.40251159667969,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,rgb,regression,"(0, 0, 6)",9.0,5,5,conc,0,11.89179801940918,3.2417149543762207,93.11604309082031,1.6961222887039185,-2.236074447631836,2.7417356967926025,2.5636425018310547
val_score,rgb,regression,"(0, 0, 6)",9.0,5,5,conc,0,9.958626747131348,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.256269693374634
test_score,rgb,regression,"(0, 0, 6)",9.0,5,5,conc,0,9.797005653381348,3.019777297973633,93.40251159667969,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,rgb,regression,"(0, 0, 0)",9.0,9,2.5,none,0,43.42649459838867,6.257136344909668,97.95307159423828,3.5064423084259033,-3.0,5.757135391235352,5.565124988555908
val_score,rgb,regression,"(0, 0, 0)",9.0,9,2.5,none,0,35.147823333740234,5.534405708312988,97.62335205078125,3.1186509132385254,-2.9999966621398926,5.034407138824463,4.843173503875732
test_score,rgb,regression,"(0, 0, 0)",9.0,9,2.5,none,0,34.52933883666992,5.681583404541016,97.96062469482422,3.240434408187866,-2.999998092651367,5.181581974029541,4.9885125160217285
train_score,rgb,regression,"(0, 0, 1)",9.0,9,5,avg,0,42.02240753173828,6.131089210510254,97.8995132446289,3.4382855892181396,-3.0,5.63109016418457,5.439083099365234
val_score,rgb,regression,"(0, 0, 1)",9.0,9,5,avg,0,34.9549674987793,5.520540237426758,97.62982940673828,3.112442970275879,-3.0,5.020539283752441,4.829145431518555
test_score,rgb,regression,"(0, 0, 1)",9.0,9,5,avg,0,34.511695861816406,5.684499740600586,97.96373748779297,3.2425265312194824,-3.0,5.184497356414795,4.991432189941406
train_score,rgb,regression,"(0, 0, 0)",9.0,9,5,conc,0,41.681766510009766,6.101857662200928,97.8861312866211,3.4226486682891846,-3.0,5.601857662200928,5.409890174865723
val_score,rgb,regression,"(0, 0, 0)",9.0,9,5,conc,0,34.9549674987793,5.520540237426758,97.62982940673828,3.112442970275879,-3.0,5.020539283752441,4.829145431518555
test_score,rgb,regression,"(0, 0, 0)",9.0,9,5,conc,0,34.511695861816406,5.684499740600586,97.96373748779297,3.2425267696380615,-3.0,5.184497356414795,4.991432189941406
train_score,twostream,regression,"(0, 0, 3)",9.0,3,2.5,none,0,3.671165704727173,1.7867927551269531,81.4978256225586,0.7364888191223145,-1.7320551872253418,1.3015565872192383,1.1617136001586914
val_score,twostream,regression,"(0, 0, 3)",9.0,3,2.5,none,0,2.899775505065918,1.5485000610351562,78.6100845336914,0.6133187413215637,-1.7320536375045776,1.0714991092681885,0.9533796906471252
test_score,twostream,regression,"(0, 0, 3)",9.0,3,2.5,none,0,2.801070213317871,1.5975555181503296,81.64517974853516,0.6258934140205383,-1.7320537567138672,1.097629427909851,0.9619618058204651
train_score,twostream,regression,"(0, 0, 4)",9.0,3,5,avg,0,3.5290675163269043,1.7416126728057861,80.99556732177734,0.7129512429237366,-1.7320548295974731,1.2575280666351318,1.1219332218170166
val_score,twostream,regression,"(0, 0, 4)",9.0,3,5,avg,0,2.8800230026245117,1.5438846349716187,78.66851043701172,0.6104483008384705,-1.7320517301559448,1.066024899482727,0.9481708407402039
test_score,twostream,regression,"(0, 0, 4)",9.0,3,5,avg,0,2.7988803386688232,1.5985366106033325,81.67367553710938,0.6263146996498108,-1.732051968574524,1.0985370874404907,0.9625526666641235
train_score,twostream,regression,"(0, 0, 6)",9.0,3,5,conc,0,3.5115528106689453,1.7361624240875244,80.92144012451172,0.7101624608039856,-1.7320547103881836,1.2523741722106934,1.1172504425048828
val_score,twostream,regression,"(0, 0, 6)",9.0,3,5,conc,0,2.880023241043091,1.5438846349716187,78.66851043701172,0.6104483604431152,-1.7320510149002075,1.0660250186920166,0.9481708407402039
test_score,twostream,regression,"(0, 0, 6)",9.0,3,5,conc,0,2.7988805770874023,1.5985366106033325,81.67367553710938,0.6263147592544556,-1.7320512533187866,1.0985370874404907,0.9625526070594788
train_score,twostream,regression,"(0, 0, 7)",27.0,5,2.5,none,0,12.467280387878418,3.3374059200286865,93.35391998291016,1.7526386976242065,-2.236078977584839,2.8375308513641357,2.6577768325805664
val_score,twostream,regression,"(0, 0, 7)",27.0,5,2.5,none,0,10.016845703125,2.936384439468384,92.29964447021484,1.5173903703689575,-2.2360610961914062,2.4367706775665283,2.264554262161255
test_score,twostream,regression,"(0, 0, 7)",27.0,5,2.5,none,0,9.80263900756836,3.0181455612182617,93.39227294921875,1.5704944133758545,-2.2360618114471436,2.518146276473999,2.3307318687438965
train_score,twostream,regression,"(0, 0, 2)",9.0,5,5,avg,0,11.922163009643555,3.247368812561035,93.13504028320312,1.6994342803955078,-2.236074447631836,2.747394323348999,2.569105625152588
val_score,twostream,regression,"(0, 0, 2)",9.0,5,5,avg,0,9.958627700805664,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.2562694549560547
test_score,twostream,regression,"(0, 0, 2)",9.0,5,5,avg,0,9.797005653381348,3.019777297973633,93.40251922607422,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,twostream,regression,"(0, 0, 3)",9.0,5,5,conc,0,11.928717613220215,3.2467596530914307,93.12654876708984,1.6990790367126465,-2.236074447631836,2.7467939853668213,2.5686349868774414
val_score,twostream,regression,"(0, 0, 3)",9.0,5,5,conc,0,9.958627700805664,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.256269693374634
test_score,twostream,regression,"(0, 0, 3)",9.0,5,5,conc,0,9.797005653381348,3.019777297973633,93.40252685546875,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,twostream,regression,"(0, 0, 4)",9.0,9,2.5,none,0,43.28306579589844,6.243803977966309,97.94403076171875,3.4990122318267822,-2.9997730255126953,5.743802547454834,5.551851749420166
val_score,twostream,regression,"(0, 0, 4)",9.0,9,2.5,none,0,35.147830963134766,5.534405708312988,97.62335205078125,3.1186602115631104,-2.9994609355926514,5.034407138824463,4.843173980712891
test_score,twostream,regression,"(0, 0, 4)",9.0,9,2.5,none,0,34.52933883666992,5.681583404541016,97.96062469482422,3.2404422760009766,-2.999661445617676,5.181581974029541,4.9885125160217285
train_score,twostream,regression,"(0, 0, 3)",9.0,9,5,avg,0,41.916969299316406,6.119939804077148,97.89102935791016,3.431915044784546,-3.0,5.619938850402832,5.427979946136475
val_score,twostream,regression,"(0, 0, 3)",9.0,9,5,avg,0,34.9549674987793,5.520540237426758,97.62982940673828,3.112442970275879,-3.0,5.020539283752441,4.829145431518555
test_score,twostream,regression,"(0, 0, 3)",9.0,9,5,avg,0,34.511695861816406,5.684499740600586,97.96373748779297,3.2425267696380615,-3.0,5.184497356414795,4.991432189941406
train_score,twostream,regression,"(0, 0, 1)",9.0,9,5,conc,0,41.6793327331543,6.101916313171387,97.88655853271484,3.422714948654175,-3.0,5.601917266845703,5.409942150115967
val_score,twostream,regression,"(0, 0, 1)",9.0,9,5,conc,0,34.9549674987793,5.520540237426758,97.62982940673828,3.112442970275879,-3.0,5.020539283752441,4.829145431518555
test_score,twostream,regression,"(0, 0, 1)",9.0,9,5,conc,0,34.511695861816406,5.684499740600586,97.96373748779297,3.2425267696380615,-3.0,5.184497356414795,4.991432189941406
